date,source,forecast,COLD,HOT,WET,DRY,CLOUDY,WINDY
2017-12-14,boards,"TODAY ... Windy and feeling very cold with frequent wintry showers, mostly rain or hail but some snow at times, winds westerly veering to northwesterly 50-80 km/hr (gusts to near 100 km/hr on west and north coasts). Highs only 3 to 6 C for most, near 7 C around west coast, and feeling like -2 to 0 C.",2.00,0.00,4.00,0.00,0.00,4.00
2017-12-16,boards,"TODAY ... A few brief showers of rain or sleet may continue in eastern counties for a while before clearing southeast, then becoming mostly cloudy with a few sunny intervals, frost inland south clearing rapidly, and turning milder by afternoon with highs reaching 8 to 10 C.",0.00,0.00,3.00,0.00,1.00,0.00
2017-12-17,boards,"TODAY ... Rain soon ending over eastern counties as a gradual clearing trend works its way east, brighter intervals developing this afternoon with moderate westerly winds, highs 8 to 10 C north and west, 10 to 12 C east and south.",0.00,0.00,1.00,0.00,0.00,2.00
2017-12-18,boards,"TODAY ... Some lingering fog mainly in parts of the inland south and southeast, which should begin to clear by mid-day, otherwise partly cloudy with some hazy sunshine and becoming quite mild, highs for most will reach 8 to 11 C, could stay a little lower in any persistent fog. Light winds in the south will prevent the fog from dissipating quickly.",0.00,0.00,0.00,0.00,4.00,1.00
2017-12-19,boards,"TODAY ... Hazy and very mild, occasional sunny breaks but a lot of mist and low cloud with highs 11 to 13 C. Rain may develop near northwest coasts by late afternoon.",0.00,0.00,1.00,0.00,2.00,0.00
2017-12-20,boards,"TODAY ... Continued mild with a few outbreaks of light rain, highs near 12 C.",0.00,0.00,1.00,0.00,0.00,0.00
2017-12-21,boards,"today at 4:28 p.m. Irish standard time. 


TODAY ... Light rain clearing east, then cloudy with a few sunny breaks, very mild, with another interval of rain developing in parts of the west and north later, highs 11 to 13 C.",0.00,0.00,2.00,0.00,1.00,0.00
2017-12-22,boards,"TODAY ... Mostly cloudy and mild, with a few brighter intervals developing in parts of the south, highs 11 to 13 C. A few patches of drizzle may be found but not very much accumulation is expected.",0.00,0.00,1.00,0.00,1.00,0.00
2017-12-23,boards,"TODAY ... Cloudy with a few breaks, mild, highs near 11 C.",0.00,0.00,0.00,0.00,1.00,0.00
2017-12-24,boards,"TODAY ... Overcast with rain developing by afternoon in western counties, just patchy drizzle before that, with winds increasing to southwest 50-80 km/hr. Highs 9 to 12 C.",0.00,0.00,2.00,0.00,1.00,1.00
