tweet_id,tweet_created_at_ts,user_screen_name,user_location,tweet_place_name,tweet_place_country_code,tweet_text
991858142484058112,1525312383,VK_HM,"Dublin, Ireland",Dublin City,IE,"@jsdtweets @DangOlWill They can they just don’t want to, Jessica Jones got a Captain America in the last season. I guess they just think it sounds cooler if nobody talks like nerds by using their given names"
991793143371718656,1525296886,BrianKeane9,Shannon...Co Clare...Ireland,Clare,IE,@RTEsoccer While your panellists slate the liverpool team shower of wankers
991785232910159872,1525295000,cbbrown35,Dublin Ireland,South Dublin,IE,Im on antibiotics at the min. I might stretch to sparkling water. 😍🤣 https://t.co/HTunYjZN4D
991786365372321792,1525295270,mrwavibor,"Louth, Ireland",Dublin City,IE,I'm at The Five Lamps in Dublin https://t.co/Ozkbd6Y8EO
991796305876930560,1525297640,KarenBrownSauce,"Galway, Ireland",Galway,IE,YES!!! Still Single 🙋🏻😩 #knowthefeels #FirstDates https://t.co/cLURC402T9
991792652638130176,1525296769,DonnaMariaBaint,Gorey wexford Ireland,Wexford,IE,@itvcorrie #Gotta love Sally#Prawn &amp; Scallop risotto doesn’t grow on trees you know😂😂
991794200323788806,1525297138,foodborn,"Wexford, Ireland",Wexford,IE,@LornaESixsmith @Paulahynes4 Yes really enjoyed it. So tough but great viewing 👏🏼👏🏼👏🏼
991787271354544134,1525295486,BrianKeane9,Shannon...Co Clare...Ireland,Clare,IE,@Linda_Pizzuti We've conquered all of your europe were never going stop from paris and to turkey we've won the fucking lot😚😚😚❤❤❤#YNWA
991791293700460544,1525296445,StelmaszczykA,"Dublin City, Ireland",Fingal,IE,@Mateusz_Sitko_ @RadoChmiel @AnnaSkiepko @Sokol_PL_ @PawelRutowski @magda_r77 💪
991786956764966914,1525295411,stanleydiarmuid,"Dublin City, Ireland",Dublin City,IE,like urs  too
991792023475834882,1525296619,keiththompson__,"Dublin, Ireland",Dun Laoghaire-Rathdown,IE,Liverpool players holding up a banner with Irish on it almost cancels out Steve going to the huns. https://t.co/wKMV4oBPN4
991787774662541313,1525295606,_MattyEFC,"Dundalk, Ireland",Louth,IE,#RedOrDead has done it for me 🤮😭 https://t.co/6q023R8TVF
991750613125009409,1525286746,GerBearWalsh,"Dublin City, Ireland",Dun Laoghaire-Rathdown,IE,@donalscannell Amen
991746859214540806,1525285851,ColletteFlores,"Dublin, Ireland",Dublin City,IE,@caulmick @campaignforleo @RoisinShortall #bodylanguage !!
991745575786774529,1525285545,itsdee_again,Ireland,Meath,IE,Wait . They actually take u home ? https://t.co/aSTYrTcy28
991750764136673281,1525286782,Jordimurphy,"Dublin, Ireland",Dublin City,IE,Spot of tea with Michael D 🇮🇪 @ Áras an Uachtaráin https://t.co/iCyaDfKkM5
991762101315260416,1525289485,GalwayCoCo,"County Galway, Ireland",Galway,IE,Cllr. Martina Kinane speaking at the launch of the Oranmore Heritage Trail in Oranmore Library https://t.co/sTOuLLv1Hm
991767616846000131,1525290800,NesbittF,"Kilkenny, Ireland",Kilkenny,IE,"@RozsaraKelly That sounds much better! I like the new profile pic, btw."
991758364207206400,1525288594,robsullivan11,Fermoy Co. Cork Ireland,Cork,IE,@smuller1987 How messi didn’t cut em apart is beyond belief 😂😂🙈🙈
