tweet_id,tweet_created_at_ts,user_screen_name,user_location,tweet_place_name,tweet_place_country_code,tweet_text
1058162006312845312,1541120456,cheloneill,"Dublin, Ireland",Dun Laoghaire-Rathdown,IE,@elaine96 imagine if they did!!!
1058164321568673792,1541121008,kingdazza2014,Ireland,West Meath,IE,@Xbox follow me when ya see this
1057984247510810624,1541078075,sayanamk,"South Dublin, Ireland",Meath,IE,"@gautamnitin @HaldiramsOutlet Delicious looking 😋😋

Am sure, they taste divine

#indianfood #indiancuisine #food #Foodies #gastronomy"
1057982263613370368,1541077602,StaceeyDineen,"Kerry, Ireland",Kerry,IE,@luvvpjm @BTS_twt Thanks so much for getting it for me. I searched in so many shops for it and couldn’t find it anywhere🙏🏼💜
1058109183239876608,1541107862,seanna68,"Galway, Ireland",Galway,IE,@supremepooleire One on Xbox right now the other watching an Ambulance programme on BBC! She’s thinking of being a doctor or nurse!
1058102392682700801,1541106243,LaineyB2011,Ireland,Dun Laoghaire-Rathdown,IE,@kellehmv @UCDPress Congratulations! It looks fab. Can’t wait to read it. (&amp; maybe find out who is guilty &amp; who is really innocent!) #UnsolvedCrime
1058102430401994752,1541106252,FAIZZALL,"Galway, Ireland",Galway,IE,@Ms_soofia جهنم و بأس المصير
1058112110889222144,1541108560,Watersun555,Dublin Ireland ,South Dublin,IE,US indictment accuses Chinese firm of stealing trade secretsp https://t.co/gBRHfZ4dm0
1058109007104299008,1541107820,Liampcahill,"Dublin, Ireland.",Dublin City,IE,"Ok, shower and face mask time. Look after yourself boys https://t.co/2AroQa8QpY"
1058106884769538048,1541107314,AnaglogsDaughtr,"Louth, Ireland",Louth,IE,"lol the way the photo is creased Lough Inagh looks like a donkey (Some donkey to own,Punchestown Chase &amp; Queen Mum Champion Chase winner)
The Sundance Kid &amp; Tommy @Stack_Racing left and Lough Inagh &amp; Sean Barker @punchestownrace 1973 https://t.co/EyBsOAVpyT"
1058113906034593794,1541108988,RobertBohan,"Dublin, Ireland",Dublin City,IE,Thread: Happy Birthday Antonio Canova (1757-1822) who was probably the greatest Neoclassical sculptor of his time. He had a gift for enshrining sensuality into his beautiful work &amp; creating masterpieces that still speak to us https://t.co/VWK9xXyfAQ
1058063981246640130,1541097085,tweetypie281,"Wexford, Ireland",Wexford,IE,https://t.co/TmvWS0SprI @AuryGaming guys please go check out Aury's &amp; Cyber's new YT Channel AASquad if you haven't already done so hit that Like 👍 Subscribe ✔ Notifications 🔔 &amp; Share 🐦 to join the AASquad Family today #RoadTo500Subs✔ the new AASquad GTA V Car #MonkeyNuts🥜 https://t.co/kjTcVShLob
1058065054992646146,1541097341,AnthonyICHH,"Dublin City, Ireland",Dublin City,IE,"Minister Murphy says; 

“Families are spending on average LESS than 6 months in temporary emergency accommodation”

Are we on the same planet here? Are we tackling the same crisis?

#HomelessCrisis"
1058061770831609857,1541096558,cuoreinviaggio,"Kilkenny, Ireland",Kilkenny,IE,"@HMQueenBee @HMQueenBee no ma brava, ignorami."
1058069995857547265,1541098519,Markcod47448261,"Cork, Ireland",Cork,IE,@corrie_fan_15 I hate this story
1058059732412440576,1541096072,rachelmc_mc,"Meath, Ireland",Meath,IE,@lfcisabelle @Chris__Moss @Conorseddo @niamhmcdermott @ladbible YES iz we’ll go halfers on a new hotel😊😊😊😊
1058067546400808961,1541097935,lynn_goonerette,Rep of Ireland ,South Dublin,IE,@Stuwilson1984 @SkySportsBoxing @BTSportBoxing @EddieHearn @frankwarren_tv Depends on the undercard
1058062374824017920,1541096702,f_leprechaun74,Ireland,Limerick,IE,"☘Happy Thursday everyone hope ye have a great day ☘️
Here is a nice shot from the woods side of the lake looking out across the park. ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Shoot Location… https://t.co/Uq7XpPxqdf"
1058062504855773184,1541096733,allovus,Ireland,Cork,IE,Former President of Ireland Mary Robinson appointed as new Chair of @TheElders https://t.co/b74w9nAObH
1058062563563499521,1541096747,mmithpjm,"West Meath, Ireland",Galway,IE,Omg he’s so cute stop he ssooo excited :(
1058079709865611264,1541100835,anthony14271803,"South Dublin, Ireland 🇮🇪",South Dublin,IE,Fuse ODG – Bra Fie ft. Damian Marley https://t.co/JDG7IWlQMc
1058075310057549834,1541099786,osullivandom,"Cloyne, Cork, Ireland",Cork,IE,@psull88 @eoinpom #keepfightingslayer
1058084898215485440,1541102072,Davey_H,Dublin Ireland,Dublin City,IE,@annmil38 Are these Current Superstars Lol. How Carmella Higher then Becky?!?!?
1058077197477527552,1541100236,JeniPim,"Dunhill, Waterford, Ireland",Cork,IE,"I have joined blissbakery in her #30daysofgratitude as I find myself as I get closer to the silly season starting to get tied up in my head with all the to dos. Like this cushion says,… https://t.co/DtwVtH4f86"
1058085950985781250,1541102323,Jbgolfshop,"Meath, Ireland",Meath,IE,@AndyMickelson1 @Toptracer_Golf @MistwoodGolf That’s awesome !!!
1058084290037276672,1541101927,boscosbox,"My box, Dublin, Ireland",Dun Laoghaire-Rathdown,IE,"@JoeFinneganShow Come and see me @iontastheatre Sunday 11 November for
SNOW WHITE 
And a Story all me I’d love to see you 
XxBosco https://t.co/NKlw8LStzE"
1058085468670173184,1541102208,GaryJk64,"Dublin City, Ireland",Dublin City,IE,@MyWayAccess @AbleHour I will be as tok a nooze a long one as well
1057916073314529280,1541061821,shanefolan,"Dublin City, Ireland",Dublin City,IE,Two lads from the one club! Unreal achievement for @BrianFenton08 and Brian Howard and everyone else in @RahenyGAA #PWCAllStars
1057912592017121280,1541060991,WilliamsJon,"Dublin, Ireland",Dublin City,IE,If only #Brexit was as simple as #GBBOfinal. Cartoon @thetimes this morning. https://t.co/9xhj5Ysoyh
1057930707245383681,1541065310,PriceChanges,Ireland,Wicklow,IE,"⇩ 8.66% €114K ⇨ €105K https://t.co/NwlOYHQz4O Ballynavortha, Shillelagh, Wicklow #wicklow #shillelagh"
1057928761071595520,1541064846,graememooney__,"Dublin, Ireland",Fingal,IE,Happy birth month 🎊🎊
1057924914903162880,1541063929,tom_hubert,"Meath, Ireland",Offaly,IE,Clear message from #EnergyNowIreland conference: support is needed to get small-scale #renewableenergy projects off the ground and farmers will get in if they get a return on their investment in five years. Five-year payback needed for farm energy projects https://t.co/22QyqkPgPH
1057926433211928577,1541064291,collybolton,"Bray, Co. Wicklow, Ireland",Wicklow,IE,Hey @mcd_productions what’s the point in joining a fan club to get a presale ticket when all you get is this? @jonbonjovi https://t.co/17Tp5ZvYsV
1057924478699749377,1541063825,reglooby,"Dublin City, Ireland",Dublin City,IE,🧛‍♂️🎅🏻😂
